Location,Location,Time,TPop31Dec
Viet Nam,Viet Nam,1950,25388413
Viet Nam,Viet Nam,1951,25866653
Viet Nam,Viet Nam,1952,26512533
Viet Nam,Viet Nam,1953,27129169
Viet Nam,Viet Nam,1954,27885737
Viet Nam,Viet Nam,1955,28640325
Viet Nam,Viet Nam,1956,29431038
Viet Nam,Viet Nam,1957,30337141
Viet Nam,Viet Nam,1958,31271021
Viet Nam,Viet Nam,1959,32229839
Viet Nam,Viet Nam,1960,33207083
Viet Nam,Viet Nam,1961,34036882
Viet Nam,Viet Nam,1962,35030895
Viet Nam,Viet Nam,1963,36022559
Viet Nam,Viet Nam,1964,36995773
Viet Nam,Viet Nam,1965,37936381
Viet Nam,Viet Nam,1966,38840039
Viet Nam,Viet Nam,1967,39725089
Viet Nam,Viet Nam,1968,40565484
Viet Nam,Viet Nam,1969,41466246
Viet Nam,Viet Nam,1970,42391451
Viet Nam,Viet Nam,1971,43441797
Viet Nam,Viet Nam,1972,44370241
Viet Nam,Viet Nam,1973,45412322
Viet Nam,Viet Nam,1974,46385073
Viet Nam,Viet Nam,1975,47554159
Viet Nam,Viet Nam,1976,48772988
Viet Nam,Viet Nam,1977,50063312
Viet Nam,Viet Nam,1978,51339604
Viet Nam,Viet Nam,1979,52323173
Viet Nam,Viet Nam,1980,53613366
Viet Nam,Viet Nam,1981,54947422
Viet Nam,Viet Nam,1982,56316884
Viet Nam,Viet Nam,1983,57706005
Viet Nam,Viet Nam,1984,59107722
Viet Nam,Viet Nam,1985,60514905
Viet Nam,Viet Nam,1986,61927310
Viet Nam,Viet Nam,1987,63334265
Viet Nam,Viet Nam,1988,64740763
Viet Nam,Viet Nam,1989,66191958
Viet Nam,Viet Nam,1990,67633268
Viet Nam,Viet Nam,1991,69084372
Viet Nam,Viet Nam,1992,70493123
Viet Nam,Viet Nam,1993,71859688
Viet Nam,Viet Nam,1994,73142486
Viet Nam,Viet Nam,1995,74375735
Viet Nam,Viet Nam,1996,75517162
Viet Nam,Viet Nam,1997,76600044
Viet Nam,Viet Nam,1998,77656803
Viet Nam,Viet Nam,1999,78590624
Viet Nam,Viet Nam,2000,79411660
Viet Nam,Viet Nam,2001,80223893
Viet Nam,Viet Nam,2002,81060723
Viet Nam,Viet Nam,2003,81890926
Viet Nam,Viet Nam,2004,82731527
Viet Nam,Viet Nam,2005,83552662
Viet Nam,Viet Nam,2006,84350939
Viet Nam,Viet Nam,2007,85173598
Viet Nam,Viet Nam,2008,86020884
Viet Nam,Viet Nam,2009,86944961
Viet Nam,Viet Nam,2010,87877063
Viet Nam,Viet Nam,2011,88821170
Viet Nam,Viet Nam,2012,89781481
Viet Nam,Viet Nam,2013,90753996
Viet Nam,Viet Nam,2014,91717011
Viet Nam,Viet Nam,2015,92665784
Viet Nam,Viet Nam,2016,93587273
Viet Nam,Viet Nam,2017,94478823
Viet Nam,Viet Nam,2018,95349838
Viet Nam,Viet Nam,2019,96203595
Viet Nam,Viet Nam,2020,97093774
Viet Nam,Viet Nam,2021,97842283
Viet Nam,Viet Nam,2022,98531429
Viet Nam,Viet Nam,2023,99186471
Viet Nam,Viet Nam,2024,99808889
Viet Nam,Viet Nam,2025,100399069
Viet Nam,Viet Nam,2026,100960715
Viet Nam,Viet Nam,2027,101495424
Viet Nam,Viet Nam,2028,101998818
Viet Nam,Viet Nam,2029,102475275
Viet Nam,Viet Nam,2030,102924534
Viet Nam,Viet Nam,2031,103341681
Viet Nam,Viet Nam,2032,103734938
Viet Nam,Viet Nam,2033,104100673
Viet Nam,Viet Nam,2034,104441359
Viet Nam,Viet Nam,2035,104755146
Viet Nam,Viet Nam,2036,105046267
Viet Nam,Viet Nam,2037,105314941
Viet Nam,Viet Nam,2038,105560393
Viet Nam,Viet Nam,2039,105785363
Viet Nam,Viet Nam,2040,105990173
Viet Nam,Viet Nam,2041,106170942
Viet Nam,Viet Nam,2042,106333878
Viet Nam,Viet Nam,2043,106479115
Viet Nam,Viet Nam,2044,106610753
Viet Nam,Viet Nam,2045,106724690
Viet Nam,Viet Nam,2046,106821633
Viet Nam,Viet Nam,2047,106899657
Viet Nam,Viet Nam,2048,106961851
Viet Nam,Viet Nam,2049,107002543
Viet Nam,Viet Nam,2050,107023335
Viet Nam,Viet Nam,2051,107020097
Viet Nam,Viet Nam,2052,106999561
Viet Nam,Viet Nam,2053,106955846
Viet Nam,Viet Nam,2054,106887931
Viet Nam,Viet Nam,2055,106795047
Viet Nam,Viet Nam,2056,106684897
Viet Nam,Viet Nam,2057,106550279
Viet Nam,Viet Nam,2058,106393154
Viet Nam,Viet Nam,2059,106213069
Viet Nam,Viet Nam,2060,106009747
Viet Nam,Viet Nam,2061,105787556
Viet Nam,Viet Nam,2062,105545001
Viet Nam,Viet Nam,2063,105282709
Viet Nam,Viet Nam,2064,105004850
Viet Nam,Viet Nam,2065,104710664
Viet Nam,Viet Nam,2066,104403013
Viet Nam,Viet Nam,2067,104084721
Viet Nam,Viet Nam,2068,103750806
Viet Nam,Viet Nam,2069,103413719
Viet Nam,Viet Nam,2070,103059857
Viet Nam,Viet Nam,2071,102698289
Viet Nam,Viet Nam,2072,102332502
Viet Nam,Viet Nam,2073,101959458
Viet Nam,Viet Nam,2074,101580777
Viet Nam,Viet Nam,2075,101196306
Viet Nam,Viet Nam,2076,100810817
Viet Nam,Viet Nam,2077,100420623
Viet Nam,Viet Nam,2078,100028303
Viet Nam,Viet Nam,2079,99632216
Viet Nam,Viet Nam,2080,99231008
Viet Nam,Viet Nam,2081,98827601
Viet Nam,Viet Nam,2082,98419191
Viet Nam,Viet Nam,2083,98011811
Viet Nam,Viet Nam,2084,97606020
Viet Nam,Viet Nam,2085,97193238
Viet Nam,Viet Nam,2086,96778182
Viet Nam,Viet Nam,2087,96362404
Viet Nam,Viet Nam,2088,95943638
Viet Nam,Viet Nam,2089,95524159
Viet Nam,Viet Nam,2090,95102428
Viet Nam,Viet Nam,2091,94679474
Viet Nam,Viet Nam,2092,94256395
Viet Nam,Viet Nam,2093,93833395
Viet Nam,Viet Nam,2094,93409243
Viet Nam,Viet Nam,2095,92984421
Viet Nam,Viet Nam,2096,92554943
Viet Nam,Viet Nam,2097,92124447
Viet Nam,Viet Nam,2098,91691528
Viet Nam,Viet Nam,2099,91255383
Viet Nam,Viet Nam,2100,90818081
Viet Nam,Viet Nam,2101,90818081
